IsGrandTotalRowTotal,CountSYS_RECID,SumLOSDAYS,Hospital,PAYER (groups),Observation,Surgical,NICU,YEAR
False,5,118,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","Observation","Non-Surgical","NICU Level III",2017
False,403,1367,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,14,74,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,26,168,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,84,474,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,158,493,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,219,1184,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,100,920,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,473,2657,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,37,114,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,1460,3234,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2022
False,185,8977,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,80,4192,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,21,160,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,47,2007,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,10,19,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2022
False,29,242,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2022
False,14,313,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2022
False,10,77,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2022
False,49,2327,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2022
False,9,147,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2022
False,5,13,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level I",2022
False,6,129,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2022
False,6,47,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2022
False,25,1684,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,270,5812,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,113,840,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2022
False,26,1644,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,9,341,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2022
False,7,13,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2019
False,201,856,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,95,584,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,48,117,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2019
False,95,564,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,161,5932,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,36,744,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2019
False,213,684,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,67,415,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,29,66,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,657,2417,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,17,106,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,859,2924,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,1123,2639,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2019
False,43,323,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,350,1643,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,61,1690,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,63,617,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,16,734,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,57,158,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,24,372,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,26,273,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2019
False,156,6669,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,400,7044,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,7,464,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,107,419,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2019
False,9,31,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,265,8213,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,31,155,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,20,75,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,6,45,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,8,414,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,15,921,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,10,600,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,13,896,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,13,868,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","NICU Level I",2019
False,23,81,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,15,74,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,456,1725,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,136,404,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,33,429,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,144,517,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,65,613,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,83,448,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,24,48,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,19,205,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,1078,2344,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2020
False,77,571,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,108,446,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2020
False,10,575,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,56,2325,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,160,6038,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,5,11,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2020
False,22,390,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2020
False,352,6456,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,7,23,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,18,338,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2020
False,16,1344,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,75,4074,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,22,301,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2020
False,8,150,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2020
False,5,965,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,7,143,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2020
False,9,93,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2020
False,12,195,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,9,489,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,14,1216,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2020
False,8,226,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2019
False,44,647,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2022
False,16,1120,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2022
False,81,3127,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,15,741,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,102,610,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,147,477,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,14,34,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,101,350,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,146,6107,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,113,477,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2018
False,47,573,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2018
False,107,609,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,77,583,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,950,2240,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,7,40,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,21,22,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,10,257,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2018
False,28,256,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2018
False,86,699,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2018
False,30,300,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2018
False,365,7347,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,16,1531,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,7,46,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,15,921,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,5,433,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,5,106,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2018
False,160,974,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,282,902,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,48,172,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,10,175,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,15,229,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,318,5969,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,1209,2639,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2021
False,104,695,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,141,483,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,273,1361,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,90,693,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,113,354,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,928,2216,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,25,84,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,93,628,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,58,208,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2017
False,31,420,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2017
False,729,2377,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,22,67,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,13,32,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,6,14,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,11,17,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,6,13,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,6,63,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2017
False,70,528,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,10,151,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,45,383,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2017
False,39,344,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,8,104,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,33,392,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,21,1002,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,10,289,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,288,9274,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,13,708,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,360,5828,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,114,4955,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,11,682,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,6,349,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,13,1357,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,47,1835,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,12,917,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2017
False,6,28,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,44,331,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,38,256,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,536,2685,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,122,659,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,85,765,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,86,535,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,48,1493,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,9,15,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2021
False,18,379,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,143,5564,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,34,347,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,14,155,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2021
False,5,274,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,8,203,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,6,88,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,6,548,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,22,1224,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,17,811,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,85,3778,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,17,1177,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2021
False,7,124,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,6,94,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,699,2369,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,66,206,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,94,913,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,154,593,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,114,1079,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,285,1468,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,16,57,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,19,249,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,18,109,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,57,367,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,28,309,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,25,486,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level II",2016
False,5,25,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,7,42,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,231,7461,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,38,959,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,346,6725,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,36,488,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2016
False,16,253,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2016
False,7,167,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2016
False,101,3324,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,41,1850,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,6,514,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,17,229,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2016
False,67,266,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2016
False,776,1894,"ST JOSEPHS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,6,478,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,5,460,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,5,81,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","Observation","Non-Surgical","Non-NICU",2016
False,12,513,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,6,392,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,5,285,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,441,968,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2022
False,28,62,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2022
False,77,2588,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2022
False,67,673,"WOLFSON CHILDREN'S HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,84,505,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,7,93,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,19,267,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,5,19,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,21,315,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,9,227,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level II",2022
False,10,161,"BROWARD HEALTH MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,26,349,"ARNOLD PALMER MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,6,82,"JACKSON MEMORIAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,60,338,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2022
False,25,886,"UF HEALTH SHANDS HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2022
False,13,26,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2019
False,93,227,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level I",2019
False,65,998,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level II",2019
False,108,1106,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level II",2018
False,201,524,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level I",2018
False,121,1218,"WOLFSON CHILDREN'S HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,57,329,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,10,308,"JACKSON MEMORIAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,24,301,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,8,231,"HEALTHPARK MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,25,1828,"ASCENSION SACRED HEART PENSACOLA","Medicaid","Observation","Non-Surgical","NICU Level I",2019
False,28,776,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2019
False,791,1815,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2019
False,75,314,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2019
False,26,420,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,14,141,"TAMPA GENERAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,30,656,"UF HEALTH SHANDS HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,5,41,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2019
False,28,174,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2018
False,9,171,"HEALTHPARK MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2018
False,39,2113,"ASCENSION SACRED HEART PENSACOLA","Medicaid","Observation","Non-Surgical","NICU Level I",2018
